Terms,Affiliation,Exceptions
Trump 2020,r,Dump Trump 2020
Vote Blue,d,"why vote blue, if you vote blue, why would anyone vote blue"
Vote Red,r,"why vote red, if you vote red, why would anyone vote red"
Trump/Pence 2020,r,
trumpster,d,
sleepy Joe,r,
maga ,r,
baby killer,r,
veto sununu,d,
#BidenHarris2020,d,
trumper,d,
vote him out,d,
orange,d,size of orange
antifa,r,
demtards,r,
radical left,r,
democrats suck,r,
republicans suck,d,
another 4 years,r,
vote republican,r,
vote democrat,d,never vote democrat
byedon2020,d,
socialism,r,"not socialism, nor socialism, different than socialism"
i am a democrat,d,
i am not a democrat,r,
i am a republican,r,
i am not a republican,d,
make america great again,r,
dump trump,d,
rioters,r,
biden 2020,d,dump biden 2020
obamagate,r,
fillthatseat,r,
indictpelosi,r,
#trump2020,r,
liberal agenda,r,
socialist,r,
fuck biden,r,
fuck trump,d,
vote trump out,d,
racist,d,
dictator,d,
trump is a disgrace,d,
sununu 2020,r,
fox propaganda,d,
trumpet,d,
