,Name,Message,Party_Affiliation
0,A Helmut Fickenwirth,"[""GOP  = God' s  Own  Party ""]",0
1,AJ Dupuis,"['Ahhhh, I think you idiots have it backwards, just like a demorat would !!!', 'Just another rino !!!', 'Whom ever wrote this SCHITT is a useless idiot libtard and you watch, FB will show this stupid crap day in day out !!!', 'and what is the demorats position, oh, ya, SOCIALISM!!!']",0
2,Aaron Jackson,"['Considering the Democrats started the kkk and crow laws not to mention abortion to black babies to keep black population down but Republicans are racist 🙄', 'A democrat that was apart or the revelation or the start off the kkk and the abortion of black babys and is disappointed at their own history so they blame and hate on everyone else', 'Looking out for them or filming them with joe in the basement']",0
3,Aaron Krukowski,"['Live free, Vote Blue! ', 'Veto Sununu ', 'Veto Sununu ']",1
4,Aaron Robert,['TRUMP IS YOUR PRESIDENT! 12 MORE YEARS!'],0
5,Ace Knowles,['Great job Governor Sununu. You have our support.\nSo many Monday morning quarterbacks'],0
6,Adam Fontaine,"[""That's because the rest of them want us to be Taxachussetts North."", nan, 'Monetarily nothing has ever been free which is why you\'re paying that 10k so they can give ""free"" shit to the freeloaders in the country.  The Live Free or Die refers to the limiting of government control over our lives.  NH has the least restrictive laws in the country...at least until the state Congress gets their way.', ""John McInnis if they institute income & sales tax you'll pay that $10k you pay for property now as well as a % of everything you buy and make working.  Anyone with a brain knows they won't lower your property taxes they'll just find another way to spend it (or embezzle it).  Look at the lottery money they make hand over fist that is supposed to go to education that they're always complaining isn't enough."", 'Oh you mean he has vetoed gun control laws that are meant to help New Hampshire families be controlled by removal of our 2nd Amendment Rights...Keep it going Gov. Sununu.\n\nOh you mean he has vetoed tax bills that will instill an income tax?...Once again keep it up Gov. Sununu.\n\nIf you want to change New Hampshire into Massachusetts then do the right thing and go back to (Or if not already from there go there) Massachusetts and leave New Hampshire to being a state that lives FREE.']",0
7,Adam Jache,['Pretty sure the other things tied to that bill forced his hand.  Democrats are trying to shove an income tax down our throats.'],0
8,Adrienne Fran,['Joe Biden and Kamala Harris will bring this country back! Patriotism and unity have died a viscous death under the current administration. '],1
9,Adrienne Spear,"['Sununu leads from behind. He waits as long as he can not saying anything until he decides to ride 45s coat tails. Calculating, not Informed and in the forefront doing the best for the people of NH.', 'A little late to the party this time, he appears to be leading from behind.', 'I agree but who’s running against him.', 'Yuck', nan, 'Sununu-another tRump pussy-lies to us-leads from behind. Have you noticed he waits to see which way the wind blows before he says anything? I don’t care who’s running against him next time-we need someone with balls, no matter what their gender.', nan, 'Are going for a new state motto because I don’t think that “ shut the fuck up or we’ll ask you to leave” will fit on a license plate 😏', 'So much for live free...but don’t feel free to have an opinion or we’ll ask you to leave. I suppose you find that more comfortable than intelligent political discourse. As I said before- not leaving.', 'Bill Mahan not going to happen.', 'Sounds kind of like him . I’m new to the state and not impressed. He seems to prefer to lead from behind.']",1
10,Afeez Azeez Ade-Ani,['Sununu gives all healthcare workers $300 weekly during pandemic. You democrats do nothing except criticize. Failure party.'],0
11,Al Cataldo,"['Joe Robbins you need sensible hammer control to then, more people are bludgeoned to death each year with a hammer than killed by guns.', 'Darren Phaneuf maybe you should understand what Trump is proposing before you spit out your socialist rhetoric. He said that Social Security would still be funded. He’s just trying to put money back in the pockets of hard working middle class Americans.']",0
