,Terms,Exceptions,Frequency
536,the minimum wage,,102
2738,a great job,,92
2736,has done a,,77
3919,go back to,,64
5512,a lot of,,62
1288,vote for him,,60
4782,vote him out,,60
4949,he has done,,57
5199,needs to go,,54
2939,one of the,,53
2737,done a great,,50
173274,done a great job,,50
1362,to vote for,,49
839,you want to,,49
3484,a good job,,48
391,he needs to,,48
12140,sununu is a,,42
10786,the rest of,,41
3338,sununu has done,,41
938,of new hampshire,,41
2100,is going to,,39
8459,dont want to,,38
3783,if you want,,37
173273,has done a great,,37
2280,you need to,,37
11077,in new hampshire,,37
368041,has done a great job,,37
5566,get rid of,,37
8457,if you dont,,36
4698,we need to,,34
10747,the people of,,34
5885,for the people,,34
4190,be able to,,34
15095,back to school,,33
2865,back to work,,33
611,to go to,,33
175604,he has done a,,33
1805,wear a mask,,33
7803,all the way,,32
14958,free or die,,32
1416,do you think,,32
3742,doing a great,,32
174323,doing a great job,,32
14957,live free or,,31
3723,in the country,,31
2101,going to be,,31
988,in this state,,30
2104,i dont think,,30
5253,a bunch of,,30
2632,a living wage,,29
11045,the white house,,29
134,get my vote,,29
186300,live free or die,,29
194535,he needs to go,,29
173884,sununu has done a,,29
2097,lost my vote,,28
209,an income tax,,28
1763,voting for him,,28
1745,deborah eldridge sargent,,28
7513,are going to,,28
11561,to go back,,27
4703,out of office,,27
770,raising the minimum,,26
149,never vote for,,26
9499,do you know,,26
2804,the democratic party,,25
2694,was going to,,25
1540,take care of,,25
171220,raising the minimum wage,,25
2211,need to be,,25
32313,trump is a,,24
17399,the fact that,,24
1246,get back to,,24
1345,i dont know,,23
9560,a trump guy,,23
4678,i think he,,23
14535,cost of living,,23
2704,needs to be,,23
9661,why dont you,,23
4050,is the best,,23
912,elizabeth crocker moseley,,22
2129,has my vote,,22
1446,to pay for,,22
11093,the united states,,22
17364,is one of,,22
273,the people who,,22
1654,part of the,,22
6783,the republican party,,21
29886,trump and his,,21
5221,vote for a,,21
11538,the state of,,21
10241,the cost of,,21
3483,done a good,,21
7407,to private schools,,21
36286,a vote for,,21
2863,need to get,,21
1990,we dont need,,21
3389,are trying to,,21
10748,people of nh,,21
6100,not vote for,,21
16034,is a trump,,20
3672,minimum wage is,,20
2858,need to go,,20
22834,vote for sununu,,20
1168,lauren merrill thompson,,20
23784,look at the,,20
174040,done a good job,,20
11912,you dont like,,20
8730,in the state,,19
686,agree with you,,19
557,to get a,,19
7112,as well as,,19
1023,the right to,,19
3387,the democrats are,,19
181759,the people of nh,,19
26393,not voting for,,19
174369,if you want to,,19
3224,dont have to,,18
378845,is doing a great job,,18
16017,doesnt care about,,18
182646,to go back to,,18
533,as far as,,18
35418,you must be,,18
4140,by the way,,18
2680,thank you for,,18
5181,just like his,,18
184032,is doing a great,,18
20897,i guess you,,18
3193,chris sununu is,,18
11044,in the white,,18
25574,you dont have,,18
2657,state of nh,,17
175533,nothing to do with,,17
7700,live in a,,17
18403,dont care about,,17
5929,in this country,,17
3448,for our state,,17
4885,nothing to do,,17
182066,in the white house,,17
4537,dont know what,,17
5972,we need a,,17
4536,you dont know,,17
36126,would have been,,17
24435,i think the,,17
368633,sununu has done a great,,17
9569,want to do,,17
36287,vote for trump,,17
15129,out of state,,17
41851,a trump supporter,,16
2759,a fantastic job,,16
515,not going to,,16
40811,voting for sununu,,16
859,minimum wage and,,16
188897,is one of the,,16
12767,would like to,,16
20025,of the people,,16
378,wearing a mask,,16
4545,if you think,,16
18011,rest of the,,16
8458,you dont want,,16
10616,raise the minimum,,16
4143,have to pay,,16
3523,to live in,,16
54195,why would you,,16
189583,the rest of the,,16
1286,i will vote,,16
11526,they want to,,15
3976,as much as,,15
5329,to private school,,15
1883,hes done a,,15
25599,here in nh,,15
16016,he doesnt care,,15
6178,if you cant,,15
4730,to pay the,,15
174039,has done a good,,15
2036,you people are,,15
178552,he has my vote,,15
182647,go back to work,,15
22965,i dont want,,15
388092,he has done a great,,15
15775,we dont want,,15
20416,the majority of,,15
14743,carol dow mcdougall,,15
12230,rest of us,,15
4666,to new hampshire,,15
10344,go to the,,15
22976,and i dont,,15
183377,the rest of us,,15
368792,has done a good job,,15
23949,of the lowest,,15
789,supposed to be,,14
12319,back to massachusetts,,14
5220,will never vote,,14
3987,get a raise,,14
10459,the only thing,,14
5182,like his father,,14
24582,vote for the,,14
8977,for the state,,14
12111,trump and sununu,,14
1368,diane allen schlott,,14
5967,in the last,,14
18893,for new hampshire,,14
8765,to wear a,,14
2851,come up with,,14
685,i agree with,,14
11899,state income tax,,14
3139,what a bunch,,14
21862,to wear masks,,14
8180,of the virus,,14
1287,will vote for,,14
5826,care about the,,13
1481,pay for it,,13
16042,im voting for,,13
16906,are the ones,,13
32757,i am voting,,13
51884,turned down the,,13
173404,get back to work,,13
172600,is going to be,,13
11913,dont like it,,13
51885,down the minimum,,13
2902,no one is,,13
13563,no thank you,,13
9714,maybe you should,,13
19,i hope you,,13
16790,a great governor,,13
54165,they need to,,13
1560,have no idea,,13
13706,a private school,,13
10046,a piece of,,13
451,the age of,,13
11837,725 an hour,,13
3635,there are many,,13
3429,in our state,,13
4766,dont agree with,,13
10696,a sales tax,,13
2859,go to school,,13
25056,to pay their,,13
17530,that would be,,13
4524,all the time,,13
192647,to wear a mask,,13
10333,a right to,,13
176339,what a bunch of,,13
181611,raise the minimum wage,,13
183766,new hampshire democratic party,,12
15339,a 31000 raise,,12
577,i live in,,12
10458,sununu is the,,12
40335,i dont care,,12
59276,trump is the,,12
2864,to get back,,12
7806,be voting for,,12
185825,a lot of people,,12
227074,turned down the minimum,,12
12604,new hampshire democratic,,12
175320,did a good job,,12
2842,to take care,,12
11539,state of new,,12
4680,did a good,,12
16284,going to vote,,12
22959,i would like,,12
17365,of the best,,12
182618,state of new hampshire,,12
14507,lot of people,,12
14360,have to go,,12
173378,to take care of,,12
9344,is a good,,12
21346,will be voting,,12
6564,people who are,,12
10047,piece of shit,,12
34139,of the world,,12
4224,to make a,,12
12605,hampshire democratic party,,12
2405,in front of,,12
210587,for the people of,,12
5326,send their kids,,12
16789,is a great,,12
10332,have a right,,12
2746,want to be,,12
181303,have a right to,,11
5094,a man who,,11
198864,go back to school,,11
17826,time for a,,11
4171,the only way,,11
2965,like to see,,11
2779,vote for you,,11
31019,im not a,,11
68141,the internet and,,11
27441,sununu is not,,11
4485,if they dont,,11
21882,wont vote for,,11
171766,i will vote for,,11
13357,the number of,,11
49630,you know what,,11
26272,keep up the,,11
3979,minimum wage was,,11
4540,are talking about,,11
284649,deborah m orell cuevas,,11
102241,m orell cuevas,,11
1071,i want to,,11
7452,go to private,,11
18663,vote blue and,,11
4549,is good for,,11
18370,the middle class,,11
4774,would never vote,,11
18413,away from the,,11
227075,down the minimum wage,,11
102240,deborah m orell,,11
2857,kids need to,,11
173403,to get back to,,11
6872,i dont like,,11
5327,their kids to,,11
17723,will go away,,11
12741,the democrat party,,11
2120,a couple of,,11
187432,he doesnt care about,,11
175849,just like his father,,11
12050,the ones who,,11
3194,sununu is doing,,11
9418,out of nh,,11
9357,of the state,,11
51883,he turned down,,11
11580,go to work,,11
3343,he handled the,,11
10291,i used to,,11
8966,whats best for,,11
11763,is a republican,,11
370088,he did a good job,,11
184024,doing a good job,,11
8778,more money to,,11
3524,live in nh,,11
3252,but i dont,,11
10942,going back to,,11
12849,doing a good,,11
175319,he did a good,,11
27882,would be a,,10
179339,if you dont want,,10
215906,when you heard him,,10
25730,vote sununu out,,10
2862,people need to,,10
171888,wont get my vote,,10
10518,have my vote,,10
1408,wont get my,,10
41918,when you heard,,10
41919,you heard him,,10
4751,listen to the,,10
52611,him out vote,,10
377425,the state of new hampshire,,10
2186,getting my vote,,10
7354,dont like the,,10
1561,no idea what,,10
183468,go back to massachusetts,,10
6880,you sound like,,10
864,to say that,,10
179736,just lost my vote,,10
22966,want to pay,,10
21917,at this point,,10
60483,is a vote,,10
33528,going to have,,10
6773,of the country,,10
4650,the point of,,10
27332,new hampshire and,,10
16263,to get rid,,10
2608,good job with,,10
4189,should be able,,10
5145,not to mention,,10
2609,job with the,,10
490,good for nh,,10
21931,the governor is,,10
3525,in nh and,,10
18653,we the people,,10
41641,irene jane turner,,10
182617,the state of new,,10
190698,would never vote for,,10
193261,i will be voting,,10
4674,hes a trump,,10
12119,the only one,,10
11939,a minimum wage,,10
5598,all kinds of,,10
11360,to the polls,,10
175889,will never vote for,,10
9871,the death rate,,10
174808,should be able to,,10
34336,dont need to,,10
4539,you are talking,,10
6099,will not vote,,10
5776,good luck with,,10
216139,and you have said,,10
21600,the public schools,,10
187451,he is a trump,,10
3707,in nh are,,10
6071,done a fantastic,,10
15283,i am sure,,10
8846,just lost my,,10
40792,one of them,,10
9397,the dems are,,10
422565,turned down the minimum wage,,10
11900,income tax and,,10
36473,a way to,,10
33734,trump at a,,10
34216,one of those,,10
42131,you have said,,10
6018,care of the,,10
12508,to keep the,,10
2312,to deal with,,10
213453,red all the way,,10
5958,a better job,,10
33485,trump in a,,10
15337,gave himself a,,10
34413,sununu and trump,,10
1798,im not voting,,10
138468,you can request,,10
371569,i will not vote for,,10
1474,they dont want,,10
182117,in the united states,,10
558,get a job,,10
39667,red all the,,10
4948,think he has,,10
176780,done a fantastic job,,10
176809,i will not vote,,10
11092,in the united,,10
176810,will not vote for,,10
188898,one of the best,,10
19037,and thats why,,10
7868,dont have a,,10
187724,to vote for him,,10
15345,did you get,,10
187696,to get rid of,,10
187723,going to vote for,,10
68916,no matter who,,10
22840,trump and the,,10
