,Message,Party_Affiliation,Republican Count,Democrat Count,% Certainty,Categorization
0, fuck all republicans,2,0.0,0.0,,
1,richard young you are so funny please take your act on the road thanks ,2,0.0,0.0,,
2,one has to have a conscience to feel shame  i hope you lose ,2,0.0,0.0,,
3,i like sununu ,2,0.0,0.0,,
4,the problem isnt minimum wage its the skilled wage not growing with inflation guys toting inflation what do you call prices going up and not wages inflation cost will continue going up whether we raise wages or not its called a healthy economy with give and take patricia lagassekraft im not even getting a hindred,2,0.0,0.0,,
5,the blame also lies with the devos,2,0.0,0.0,,
6,schools should not be funded by   federal government,2,0.0,0.0,,
7, i wish people moved here because they liked it the way it is instead its like leaf peepers want to come here and bring the shit show politics from their home state smh,2,0.0,0.0,,
8,he was not what i thought he would be to nh have you seen the news last night and today if not listen to all of it  you will not get my vote this time i am no happy with you i felt you were doing your best for nh,2,0.0,1.0,100.0,1.0
9,iwill never vote for any body who made nh with homelessness nice news,2,3.15,0.0,100.0,0.0
10,the democrats nh state chairman and his progressives puts children in danger before you go after the governor or any republicans clean up your own house 1stnnwatch ray buckley on youtubenhttpsyoutube1ib1jp6ri,2,0.0,0.0,,
11,judy tagg creevy there has been 3 democratic governors in the past 20 years they did not tax you to death not did they institute an income tax,2,0.75,0.0,100.0,0.0
12,take your progressive socialistic agenda and shove it sunomono,2,0.7297,0.0,100.0,0.0
13,matt dustin make sure to invite your grandfather,2,0.0,0.0,,
14,ruth ashoury nailed it,2,0.0,0.0,,
15,hypocrite thy name is republican party why do new hampshire voters vote for this loser,2,0.0,0.0,,
16, alison kay rose fuck tou i earn my xheck u work my ass if u tgibk people on sscdont deserve itvit byt fir the grace of god u dont get old  teddy odonnell  rekle ti the people who have noithing  this country is so dam divie it not funny we cant even have a civil debate without calling each others names may god forgive us all elliot check we dont trust the gov   either  when was th last time the people got a fair shake fir livi  wages sir tell it to the poor sir  david macdonald i cant make it on what i made am losing my apt congrats guys right ass he a repulican what else is new,2,0.7273000000000001,0.0,100.0,0.0
17,ever think it was vetoed because how it was written,2,0.0,0.0,,
18,what happened to his mask mandate at trump rally lastnite  he spewed loud and clear that everyone would be wearing a mask just on thursdays press conference  the pics are horrifying and he needs to grow some big ones and not let this happen again  lets see how many of the morons   attending without masks contract crona,2,0.0,1.5,100.0,1.0
19,elizabeth callahan your another fear mongering democrat  you have a budget that you havent  used all of yet and your tax payer should demand accountability,2,0.0,0.0,,
20,malcolm hope the average age of minimum wage workers is 35 of those 88 are over the age of 20,2,0.0,1.0,100.0,1.0
21,i use to think that sununu was pretty bad but hes definitely not nearly as bad as some of these other governors i cant stand trump but of course hes gonna say hes on trumps side because that looks good for nh and than we wont be targeted by trump of course hes gonna take a pay raise are you saying there isnt someone out there thats not going to want more money i mean im sure hes corrupt but what government official isnt also as far as the minimum wage goes its actually a good thing because it would cause inflation of prices in stores and its easy to get a job in nh that pays more than the minimum wage anyways so living in nh is pretty great unfortunately i live in florida and see the flip side of things now,2,2.85,0.0,100.0,0.0
22, not sununus fault the peo didnt use their extra 600 a damn week for rent ,2,0.0,0.0,,
23,every trade has a shortage of workers because kids were told to go to college noone told their kids you can make just as much or more in a trade traditional american values are being lost and just so your aware almost all ethnic roofing crews drive up from boston you cannot compete with their prices but they do not have pride in their work either they nail high and have shiners all over the place i would double check your roof you should not see a single nail robin schnell you are correct  i agree with you 100 i am a framing contractor and i have tried everything to find workers i also pay above average for the industry im in my point was that making minimum wage a law makes certain businesses close down or not worth running if someone cant find work because they do not produce why shouldnt they make less work is a huge life choice we should be teaching children to do research about jobs and find a job that will support a family its not as easy as just raising the minimum wage i feel that does more harm then good there is a lot to it but thats what capitalism is supposed to be about companies should have competitive wages people should not stay at a job they are miserable at life got misconstrued somewhere down the line raising the minimum wage only destroys business and makes sure less skilled people will be replaced by automation why cant people find a better paying job you want to force businesss to pay a certain amount when it should be a mutual thing  if a person is not worth the minimum wage and it sucks to say that but its true then that person is unhirable whereas if they could work for what they are worth and would be hired by someone  we should be advocating for people to quit jobs they are not happy with instead of running business into the ground raising the minimum wage only destroys business and makes sure less skilled people will be replaced by automation why cant people find a better paying job you want to force businesss to pay a certain amount when it should be a mutual thing  if a person is not worth the minimum wage and it sucks to say that but its true then that person is unhirable whereas if they could work for what they are worth and would be hired by someone  we should be advocating for people to quit jobs they are not happy with instead of running business into the ground,2,5.5,1.0,84.62,0.0
24,andy philbrook relax you russian puppet lover ,2,0.0,0.0,,
25,elizabeth crocker moseley what are these rules thatmakeit  harder to vote im genuinely interested and not well informed all i can find is that requiring id is racist,2,1.0,0.0,100.0,0.0
26,the citizenry of new hampshire did themselves a disservice in not electing colin van ostern in 2016 to be their governor the citizenry of new hampshire did themselves a huge disservice in not electing colin van ostern in 2016 to be their governor  to use an old idiom the voters of n h  shot themselves in the foot  by not having elected colin van ostern to be their governor ,2,0.0,0.0,,
27,quinn golden thank you  as a woman of color living in this state i have been seriously contemplating having my husband teach me how to shoot and that perhaps we do need a firearm in our house just in case plus as the right always says i have the right to the second amendmentnni have lived in nh for 25 years and over the past three years i am becoming disheartened with my fellow granite staters this is no longer the kind communityoriented compassionate state that i fell in love with years ago i am seriously questioning if i want to raise my mixedrace sons here  ,2,1.6,0.0,100.0,0.0
28,margery watkins i agree i paid rent the entire time and it was very difficult but i did it with unemployment and the stimulus we got there should be no excuse,2,0.0,0.0,,
29,john is smart his followers not so much,2,0.0,0.0,,
30,where was thisn i can give you a couple feltes signs barbara ,2,0.0,0.0,,
31,pauline decato dumb comment just like your dictator,2,0.0,0.0,,
32,since when did it become eitheror  why not wear the mask so that choice doesnt have to be made  every day one of these idiots cry from their hospital bed streaming their youtube video with tears saying why didnt we listen  all i do is wonder who else did you infect lauren merrill thompson their incessant whining is like fingernails on a chalkboard  everywhere the virus is controlled is due to mask wearing   dan daigle not every person is qualified to do every job  thats like saying we need more nurses and doctors but people are too lazy  theres a need for flight attendants and school bus drivers   just because employers are hiring doesnt mean anyone even on unemployment is qualified to do the job  im sure its frustrating and hopefully youll get back to full staff soon  ,2,0.9091,0.0,100.0,0.0
33,i am not a republican and i detest trump but i have come to respect sununu and how he has handled new hampshire thru the corona virus with regular daily talk and lots of care and thought put into his decisions  i will vote for him to remain in office,2,3.0,0.0,100.0,0.0
34,you might not be convinced by signs on people lawns but some voters genuinely appreciate the validation of seeing other people especially strangers voting for the same candidate they are no one wants to feel like a sucker making a voting choice alone volume allows for a sense of comfort and solidarity you might not be convinced by signs on people lawns but some votes genuinely appreciate the validation of seeing other people especially strangers voting for the same candidate they are no one wants to feel like a sucker making a voting choice alone volume allows for a sense of comfort and solidarity  ,2,0.0,0.0,,
35,i dont know a single person rep or dem who likes this woman u0001f92e,2,0.0,0.0,,
36,j,2,0.0,0.0,,
37,sounds like a good reason to vote for himagain,2,0.0,1.0,100.0,1.0
38,ted degener your delusional  diane allen schlott best governor weve had in years 4 more years 4 more years 4 more tears,2,1.0,0.0,100.0,0.0
39,is a gov and will win again,2,0.0,0.0,,
40,ill never vote for him and im a republican,2,0.75,0.0,100.0,0.0
41,make sure next time you go to a democrat rally bring your kids lol,2,0.0,0.0,,
42,smug a hole,2,0.0,0.0,,
43,thanks for the warning so you wont get my vote thanks for the warning,2,0.0,3.0,100.0,1.0
44,malcolm hope in what world do you think only high school kids are getting paid minimum wage ,2,0.0,0.0,,
45,the article said an average abortion cost 400500 dollars not thousands of dollars this bill also would  mandate insurance companies to pay for elective abortions i feel if its an abortion is truly needed for medical issues thats one thing but if someone wants to get an abortion just because they dont want a baby than they should pay for it ,2,1.6278000000000001,0.0,100.0,0.0
46,jeremy daigle  ask my 5 year old daughter if she feels the same  jeremy daigle  youre right  my priority is to my children as well i have three children under age 7 and as an educator who prioritizes children on a daily basis i am filled with fear about leaving my children motherless  my priority is for my children to have a mother  take care of your educators many of them are mamas too with the same concerns you have ,2,0.0,0.0,,
47,ginger rojas that is a pretty ignorant comment cleary you have no idea what educators do for other peoples children everyday  funny how you can pass judgement from the outside looking in amy dattner truth,2,0.0,0.0,,
48,what guidance  hes left it up to the districts with no breadcrumbs or roadmap,2,0.0,0.0,,
49,love sununu ,2,0.0,0.0,,
50,omar abouzaid i agree,2,0.0,0.0,,
51,so all the extra unemployment and a 1200 stimulus check pay your bills this is cop out landlords still have mortgages to payproperty taxwater there is no justification why rent is not being paid unless you fit in criteria of owning a small business and getting no help,2,0.0,0.0,,
52,village idiots,2,0.0,0.0,,
